Kc1,Kc2,P1,P2,dist,run,start_freq,ln_eco_evo,ln_evo_eco,Kc1_ms,Kc2_ms,P1_ms,P2_ms,trait_dist,Kc1_f
2,7.821212121,0.8,0.217878788,4,4,0.8,NA,3.548893597,0,0.97020202,1,0.02979798,5.850245778,2
2,7.761616162,0.8,0.223838384,5,5,0.8,NA,3.557919648,0,0.96026936,1,0.03973064,5.79035258,2
2,7.702020202,0.8,0.22979798,6,6,0.8,NA,3.465373062,0,0.9503367,1,0.0496633,5.730459382,2
2,7.642424242,0.8,0.235757576,7,7,0.8,NA,3.474454953,0,0.94040404,1,0.05959596,5.670566184,2
2,7.582828283,0.8,0.241717172,8,8,0.8,NA,3.457013725,0,0.93047138,1,0.06952862,5.610672986,2
2,7.523232323,0.8,0.247676768,9,9,0.8,NA,3.449402686,0,0.920538721,1,0.079461279,5.550779788,2
2,7.463636364,0.8,0.253636364,10,10,0.8,NA,3.45674674,0,0.910606061,1,0.089393939,5.490886589,2
2,7.404040404,0.8,0.25959596,11,11,0.8,NA,3.39459534,0,0.900673401,1,0.099326599,5.430993391,2
2,7.344444444,0.8,0.265555556,12,12,0.8,NA,3.378521081,0,0.890740741,1,0.109259259,5.371100193,2
2,7.284848485,0.8,0.271515152,13,13,0.8,NA,3.384125869,0,0.880808081,1,0.119191919,5.311206995,2
2,7.225252525,0.8,0.277474747,14,14,0.8,NA,3.363502597,0,0.870875421,1,0.129124579,5.251313797,2
2,7.165656566,0.8,0.283434343,15,15,0.8,NA,3.344045229,0,0.860942761,1,0.139057239,5.191420599,2
2,7.106060606,0.8,0.289393939,16,16,0.8,NA,3.313727265,0,0.851010101,1,0.148989899,5.1315274,2
2,7.046464646,0.8,0.295353535,17,17,0.8,NA,3.272967354,0,0.841077441,1,0.158922559,5.071634202,2
2,6.986868687,0.8,0.301313131,18,18,0.8,NA,3.255549044,0,0.831144781,1,0.168855219,5.011741004,2
2,6.927272727,0.8,0.307272727,19,19,0.8,NA,3.274670385,0,0.821212121,1,0.178787879,4.951847806,2
2,6.867676768,0.8,0.313232323,20,20,0.8,NA,3.240015127,0,0.811279461,1,0.188720539,4.891954608,2
2,6.808080808,0.8,0.319191919,21,21,0.8,NA,3.260984886,0,0.801346801,1,0.198653199,4.83206141,2
2,6.748484848,0.8,0.325151515,22,22,0.8,NA,3.229464258,0,0.791414141,1,0.208585859,4.772168212,2
2,6.688888889,0.8,0.331111111,23,23,0.8,NA,3.168178089,0,0.781481481,1,0.218518519,4.712275013,2
2,6.629292929,0.8,0.337070707,24,24,0.8,NA,3.152762659,0,0.771548822,1,0.228451178,4.652381815,2
2,6.56969697,0.8,0.343030303,25,25,0.8,NA,3.143026902,0,0.761616162,1,0.238383838,4.592488617,2
2,6.51010101,0.8,0.348989899,26,26,0.8,NA,3.14542111,0,0.751683502,1,0.248316498,4.532595419,2
2,6.450505051,0.8,0.354949495,27,27,0.8,NA,3.146978833,0,0.741750842,1,0.258249158,4.472702221,2
2,6.390909091,0.8,0.360909091,28,28,0.8,NA,3.139453817,0,0.731818182,1,0.268181818,4.412809023,2
2,6.331313131,0.8,0.366868687,29,29,0.8,NA,3.138836263,0,0.721885522,1,0.278114478,4.352915825,2
